Region,SubRegion,Country/Territory,Type of offence,Year,Drugs,Total,Males,Females,Unknown/Other/ Third/Intersex,Adults,Juveniles,Specify year
Europe,Western and Central Europe,Andorra,Offences related to drug trafficking,2020,All illicit drugs,22,18,4,,22,0,
Europe,Western and Central Europe,Andorra,Offences related to drug use and/or drug possession,2020,All illicit drugs,86,79,7,,86,0,
Americas,South America,Argentina,Offences related to drug trafficking,2020,All illicit drugs,9135,7121,2014,,8826,248,
Americas,South America,Argentina,Offences related to drug use and/or drug possession,2020,All illicit drugs,63268,57102,6166,,59915,2503,
Africa,North Africa,Algeria,Offences related to drug trafficking,2020,All illicit drugs,22728,22372,356,,22312,416,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2020,All illicit drugs,41546,41214,332,,40998,548,
Africa,North Africa,Algeria,Other drug-related offences,2020,All illicit drugs,47,47,,,47,,
Asia,Central Asia and Transcaucasia,Armenia,Offences related to drug use and/or drug possession,2020,All illicit drugs,490,469,21,,486,4,
Europe,South-Eastern Europe,Bulgaria,Other drug-related offences,2020,All illicit drugs,10722,9447,,,,,
Europe,Western and Central Europe,Czechia,Offences related to drug trafficking,2020,All illicit drugs,2567,2158,409,,2464,103,
Europe,Western and Central Europe,Czechia,Offences related to drug use and/or drug possession,2020,All illicit drugs,5690,5037,653,,5379,311,
Europe,Western and Central Europe,Czechia,Other drug-related offences,2020,All illicit drugs,4,2,2,,4,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug trafficking,2020,All illicit drugs,70,58,12,,70,,
Asia,East and South-East Asia,Brunei Darussalam,Offences related to drug use and/or drug possession,2020,All illicit drugs,822,667,155,,809,13,
Americas,South America,Chile,Offences related to drug trafficking,2020,All illicit drugs,18.664,14.394,4.27,,18.02,644,
Americas,South America,Chile,Offences related to drug use and/or drug possession,2020,All illicit drugs,13.606,11.923,1.683,,13.101,505,
Americas,South America,Chile,Other drug-related offences,2020,All illicit drugs,3.577,2.809,768,,3.485,92,
Africa,North Africa,Egypt,Offences related to drug trafficking,2020,All illicit drugs,62076,,,,,,
Africa,North Africa,Egypt,Offences related to drug use and/or drug possession,2020,All illicit drugs,62076,,,,61390,686,
Europe,Western and Central Europe,Finland,Offences related to drug trafficking,2020,All illicit drugs,13517,11647,1870,,13087,428,
Europe,Western and Central Europe,Finland,Offences related to drug use and/or drug possession,2020,All illicit drugs,22759,19443,3316,,21593,1165,
Europe,Western and Central Europe,Finland,Other drug-related offences,2020,All illicit drugs,45,42,3,,45,0,
Americas,Central America,Nicaragua,Offences related to drug trafficking,2020,All illicit drugs,705,609,96,,705,,
Americas,Central America,Nicaragua,Offences related to drug use and/or drug possession,2020,All illicit drugs,2207,1994,213,,2207,,
Americas,Central America,El Salvador,Offences related to drug trafficking,2020,All illicit drugs,1033,964,69,,968,65,
Americas,Central America,El Salvador,Offences related to drug use and/or drug possession,2020,All illicit drugs,1795,1727,68,,1630,165,
